,WVSC,Z1,Y1,J1,H1,K1,Z2,Y2,J2,H2,K2
95,167.0,0.00027984310863477283,0.0003430517048051506,0.0003682094024460834,0.00041960749853824303,0.0003373775496191163,0.0003672315620780488,0.0004783832885967037,0.0006143400093617025,0.0007075380494713159,0.0005619535252782178
96,168.0,0.00014318926719339523,0.0001859764824189819,0.0002544309556249374,0.0003084520094577367,0.00022365370051696175,8.765356819147661e-05,0.00013805559116943626,0.00018275278333110726,0.0002632703798239611,0.00020502272428256195
97,170.0,0.00023754875937784812,0.0002822246678042765,0.0003565197445732492,0.00035496145006088243,0.00030537950044855124,0.0009655287276622085,0.0012778680153045193,0.001544392201635807,0.001755312315872801,0.0013528735313670021
98,171.0,0.0008855973030257227,0.001291276119016905,0.0031100021373172363,0.009920599225791589,0.0040747601746607895,0.005680262420543619,0.00963996817182569,0.015357255156103066,0.021152144272039795,0.023669375526019564
99,172.0,0.00021735782758036106,0.0002927339691891299,0.0002718489975818883,0.00024660136976942205,0.00022265864668348642,0.0012419039259722341,0.001564588018040553,0.0018626600500211419,0.0019706758750453104,0.0015346918966549167
100,173.0,8.468695302672109e-05,0.0001355166566391472,0.000171585846368369,0.0001519874011113739,0.000145883106223442,5.318794365361442e-05,5.988957070155664e-05,0.0001201020443696721,0.000203270708076899,0.0001375603271490298
101,175.0,0.0002467897370739957,0.00029353288387448456,0.00038864457521161115,0.0004320353177443457,0.00038714855171412754,0.0004875455535546617,0.0006735186096583184,0.0009255945739154592,0.0012253687485038079,0.0009634677895643781
102,176.0,8.579667560342968e-05,0.00012352209008264142,0.00013125803963029612,0.00019962741313515078,0.0002568973267165509,5.650420904792262e-05,0.00010686768458798037,0.0001903525942321361,0.0003108493760708867,0.00021906348882410522
103,178.0,7.799171504699402e-05,7.818705865217032e-05,0.00014044689652799888,0.0001362498349766171,0.00010677692536639825,0.00036274781069126907,0.0005613245023475881,0.000804222834548601,0.0010742713658745216,0.0009232922709147543
104,179.0,0.00012340709410663426,9.635085506026222e-05,0.000166132969486944,0.000508294799189533,0.00013726543711341103,0.0002105104210992163,0.00042143907493506945,0.0006535818751130741,0.001004908222998667,0.0008797660527854033
105,180.0,8.714001487682263e-05,0.00010746281863336092,0.00014273397095845554,0.0002749626446910277,0.00014317291927522122,2.9354318358060367e-05,6.124406376627317e-05,8.330264668588404e-05,0.0001223174447639915,9.991042353187378e-05
106,182.0,4.739857083490598e-05,4.833700427806699e-05,0.00010694053562106286,0.00010510477011185353,0.00011991890618693745,8.087665856649846e-05,0.00014589929723601773,0.0002074107204321541,0.00029798335117520646,0.00023795826843056535
107,183.0,7.709843157530091e-05,0.00011863542835789307,0.00013920756299109702,0.00017951110937744307,0.00015786146781229918,0.00018451955561047076,0.00024961460936242017,0.0003562581431572673,0.00043462749821567074,0.00033182262909461593
108,184.0,0.00027363927468481683,0.00040805372532416024,0.0006692406172558472,0.0008310485256830336,0.0007912422449477708,0.0004271334661700864,0.000652849085354385,0.0009758188428738776,0.0013351387478388673,0.0010984209309447522
109,185.0,0.0011370285019134177,0.0016823041478775983,0.0024289497357989744,0.0030545870232425816,0.0025321653520191502,0.0005781210729157865,0.0010002901678122565,0.0016572086824940275,0.0026314698593091126,0.002458917738832944
110,186.0,5.0573405271254197e-05,7.584200977093998e-05,0.0001644797822069117,0.00019161361228317808,0.00013026674608386795,0.00010056443084235005,0.00016925160665317624,0.0002718093550084662,0.0004396849496104838,0.0004159696071235608
111,188.0,3.959798157723597e-05,5.164902415419795e-05,9.292995928969956e-05,0.00012908896206109233,8.92988953952378e-05,3.9550028428134215e-05,7.759997833351671e-05,0.00011984082773018385,0.00018822998169358405,0.00016505078719498354
112,189.0,6.728661207925019e-05,6.2815121401887e-05,8.831920419177405e-05,0.00011209123304009327,0.0001404064738296041,3.5678287436514124e-05,5.205206938192698e-05,7.92673610488708e-05,0.00012177159651677602,6.88593945773649e-05
113,190.0,3.500033346358378e-05,4.4597672209173084e-05,8.274530274906804e-05,0.00010983721575019386,7.909812715901318e-05,2.339121603574015e-05,4.267775834741806e-05,6.354421222489173e-05,9.081132241151247e-05,9.873046898843202e-05
114,193.0,2.572189127271961e-05,4.8040033231628936e-05,0.0003069826486096748,0.0006703281536174534,0.0010834928016685997,4.401265828938191e-05,0.0002455699376716665,0.0009690388749504491,0.005048528357180537,0.009638600943015553
