,T1,T1ERR,T2,T2ERR,N1,N2,CHI1,CHI2,WVSC,BOLO1,BOLO2,DIST,DISTERR,BOLO1ABS,BOLO2ABS,SPEC1,SPEC2,MSQ1,MSQ2
38,1693.570982097313,0.00023022089542141456,1647.9440121653204,0.0004925593364802725,2.5264617148892287e-15,3.593489624075973e-15,0.4295053830916883,3.7593169869383036,161,0.03732368415445083,0.047593018667706974,-0.7483753002357287,[0.68493507],0.00020903711187045037,0.0002665521208014916,COLD,COLD,NOT_MSQ,NOT_MSQ
39,1953.6522484912368,0.0045887371258277,2003.9351965729159,0.017587631543061383,5.214178362046883e-14,1.1937000345137806e-13,41.37274681682095,2324.301987515605,164,1.3640732745983672,3.456951635560975,1.0675917785004818,[0.04242436],0.015547055232168629,0.03940068251012891,COLD,COLD,NOT_MSQ,NOT_MSQ
40,2080.045527583792,0.002676266268522713,1944.1472513583963,0.0045089900550821715,8.098005248027443e-15,2.1488060737291658e-14,9.137106621748476,511.99698203113735,165,0.27222854921396805,0.5512853980161867,2.1174567801714623,[0.30666277],0.012205702432849156,0.024717560091287918,COLD,COLD,NOT_MSQ,NOT_MSQ
41,1953.4420877610764,0.0007580894860623522,1889.493939840613,0.006194000029859024,3.3655637170494e-15,1.8517334445145705e-14,0.6362584681041711,166.04535922708885,170,0.08800812073127427,0.4238599148464804,2.0868197265324167,[0.45464166],0.0038325922254706726,0.018458321809751037,COLD,COLD,NOT_MSQ,NOT_MSQ
42,2156.463586082545,0.004112061339724528,1945.334981589896,0.0026316659581415475,1.5770664940843487e-15,1.8175965854245952e-14,4.406823079934057,140.67116515892255,172,0.061246814861300236,0.4674527767643669,5.79601045530734,[3.0872584],0.020575094026670408,0.1570348573511246,COLD,COLD,NOT_MSQ,NOT_MSQ
43,1881.3063483775336,0.000845566573145454,1734.4285002085032,0.0018389922740941352,4.683959389240179e-15,1.864712691490097e-14,2.0135750761067186,144.11325995995793,175,0.10536902047073857,0.30303766424571693,10.091820937389889,[15.32375943],0.10731292066823225,0.30862825408648387,COLD,COLD,NOT_MSQ,NOT_MSQ
44,1864.3728742428796,0.00044212092128829284,1716.3312652401653,0.0018249322007701594,1.5270106771501102e-15,1.7777503356125736e-14,0.4560574214282018,132.5749692566652,178,0.03313100792798552,0.2770345344182882,2.0939304536177863,[1.05269526],0.0014526438669355188,0.012146703119530856,COLD,COLD,NOT_MSQ,NOT_MSQ
45,1728.4475803478804,0.003824928812167843,1681.8392502641746,0.0007612090636031904,3.4337056924301376e-15,2.167505256644294e-15,16.163647353392076,15.663183345284697,180,0.05503600109930138,0.031142680172576653,-1.0747125956558021,[1.02210846],0.0006356697550694611,0.0003597001868247956,COLD,COLD,NOT_MSQ,NOT_MSQ
46,1628.4434394073326,0.0015116157182309938,1688.5009665491543,0.0020635325240981476,1.8748787844054012e-14,2.3254588835626315e-14,7.849545116963468,131.03090303205337,184,0.23676659947757417,0.3394469958125526,4.143708690383935,[3.54142641],0.04065358683393401,0.058284141218536666,COLD,COLD,NOT_MSQ,NOT_MSQ
47,1707.3815397046494,0.00535354807810146,1525.1626458679918,0.004849616146960731,5.1289006100377884e-14,8.03755029367456e-14,148.06515552867305,783.3621645649713,185,0.7827175923012631,0.7809831493037653,2.3944533751835255,[0.60432328],0.0448763849605428,0.04477694228490422,COLD,COLD,NOT_MSQ,NOT_MSQ
48,1629.4922454836942,0.002025705538252171,1505.8020160678875,0.000831376668867527,3.743602723373639e-15,1.441961675635974e-14,5.8587366716535,60.33625861969675,186,0.047397507273477246,0.13313058307283046,0.8944563717518248,[0.61441305],0.0003792048001451565,0.0010651141600349643,COLD,COLD,NOT_MSQ,NOT_MSQ
49,1655.4164523317402,0.0005179673819558097,1540.803914896323,0.0007735060413363777,2.2296030445831296e-15,5.15302546543248e-15,1.104236910446824,16.044048294090498,188,0.030068644815718092,0.052156164040137405,-1.0,-1.0,0.000300686448157181,0.0005215616404013741,COLD,COLD,NOT_MSQ,NOT_MSQ
50,1680.3296608203082,0.0014300956269700108,1668.8930753584802,0.0010853821061045407,2.442527097403244e-15,2.05803212849234e-15,1.8394191316872344,7.302056240860939,189,0.03496835639821115,0.02866974151531765,-1.0,-1.0,0.00034968356398211155,0.0002866974151531766,COLD,COLD,NOT_MSQ,NOT_MSQ
51,1671.5986807717738,0.00039546584454445294,1549.191218557826,0.00031315530131266153,1.8996706159371067e-15,2.7853764591284118e-15,0.7019941595864451,5.170331697219058,190,0.026635694619537176,0.028810987846905,-1.0,-1.0,0.0002663569461953718,0.00028810987846905004,COLD,COLD,NOT_MSQ,NOT_MSQ
52,1106.8280431298904,0.0017639939063125222,1021.7548337897791,0.008388365881499035,1.7936474028001228e-13,2.5894617429818854e-12,7.76548582814581,2210.3859006217476,193,0.4833728972269586,5.0676713717235025,-1.0,-1.0,0.004833728972269587,0.050676713717235033,COLD,COLD,NOT_MSQ,NOT_MSQ
53,1666.8323767071215,0.0027123408104324964,1686.3201964151847,0.0020208744082164803,3.911753664737901e-15,1.6924914376807228e-14,3.3656556024590714,157.05241271128557,201,0.054224647062360715,0.24577892724428485,-2.562905522934538,[2.09025953],0.0035617376564876565,0.01614395127976326,COLD,COLD,NOT_MSQ,NOT_MSQ
54,1806.1946209793434,0.0020898165803398087,1713.4230784183346,0.002582867708319768,5.301933204321267e-15,2.3402026881786654e-14,1.9040996962034675,331.7498278023205,203,0.1013334700654354,0.36221843020650113,-6.204293782021407,[7.84754382],0.039006557450723255,0.13942968693795882,COLD,COLD,NOT_MSQ,NOT_MSQ
55,1622.849676484082,0.00033892283251623343,1563.406443763503,0.0010855871420145302,3.762544130653945e-15,1.2420757459821405e-14,0.9262442216110015,40.326947974476404,205,0.04686527272751759,0.1332570753189362,0.47829451288443536,[0.30785637],0.00010721164158744807,0.0003048464026049874,COLD,COLD,NOT_MSQ,NOT_MSQ
56,1678.1732410931127,0.00037057121779147814,1641.3887270463727,0.002118197866847185,3.3353261436950478e-15,1.1623254503029928e-14,0.593262927767207,41.993001600142094,211,0.047505432721127894,0.1515062003158893,2.4975283772358567,[3.25725693],0.00296322167169224,0.009450423466453792,COLD,COLD,NOT_MSQ,NOT_MSQ
57,2877.3394856536343,0.14537454170937628,2638.5142754195654,0.06810480239485456,8.775457699740601e-15,1.7971156711557823e-14,779.4318617337271,2866.9966049523437,215,1.0801969028008298,1.5641620410610333,1.7046295770465425,[0.06477266],0.03138795107212573,0.045450826128458625,M,M,MSQ,MSQ
58,2191.236415708504,0.003452790397158346,2584.1036800177535,0.0014414172544788457,9.323982407665555e-16,1.1655395293352006e-15,4.71733066477794,27.504426775241594,219,0.0386032332613574,0.09333283018467302,6.7705299818532865,[2.94064662],0.01769575155624838,0.04278384050909984,COLD,M,NOT_MSQ,MSQ
59,2610.0315022084883,0.010944938318747103,2277.061294881307,0.0017766575142716687,5.721311425542491e-16,1.2905643140043104e-15,7.728550947692037,6.520539423513014,223,0.04768111315566448,0.062308098030418924,12.149729819775647,[16.91479699],0.07038492085702125,0.09197668129737356,M,COLD,MSQ,NOT_MSQ
60,2232.013202971773,0.014967785791533817,2006.0904662353441,0.003931299197208979,3.821848083909729e-15,2.4965052927375765e-14,49.409745757127716,304.9030209098136,224,0.17034369996265006,0.7261025756268866,1.1163930556792876,[0.07579783],0.0021230505207257286,0.009049659315976807,COLD,COLD,NOT_MSQ,NOT_MSQ
